iter	Passed	Remaining
487	669	702
488	671	701
489	672	700
490	674	699
491	676	698
492	677	696
493	679	695
494	680	694
495	682	693
496	683	692
497	685	690
498	686	689
499	687	687
500	689	686
501	690	684
502	691	683
503	693	682
504	694	680
505	696	679
506	697	678
507	699	677
508	701	676
509	702	674
510	703	673
511	705	672
512	707	671
513	709	670
514	710	669
515	712	668
516	714	667
517	715	665
518	717	664
519	718	663
520	720	662
521	722	661
522	723	660
523	725	658
524	726	657
525	728	656
526	729	654
527	730	653
528	732	651
529	733	650
530	735	649
531	736	648
532	738	646
533	739	645
534	741	644
535	742	642
536	744	641
537	745	640
538	747	639
539	748	637
540	750	636
541	752	635
542	753	634
543	755	633
544	756	631
545	758	630
546	759	628
547	760	627
548	762	626
549	763	624
550	764	623
551	766	621
552	767	620
553	769	619
554	770	617
555	772	616
556	773	615
557	774	613
558	776	612
559	777	611
560	780	610
561	781	609
562	783	608
563	784	606
564	786	605
565	787	603
566	788	602
567	790	601
568	792	600
569	793	598
570	795	597
571	796	596
572	798	594
573	799	593
574	801	592
575	803	591
576	804	589
577	806	588
578	807	587
579	809	586
580	811	585
581	812	583
582	814	582
583	815	581
584	817	579
585	818	578
586	820	577
587	821	575
588	823	574
589	824	573
590	825	571
591	827	570
592	828	568
593	830	567
594	831	565
595	832	564
596	834	563
597	835	561
598	837	560
599	838	558
600	839	557
601	841	556
602	842	554
603	844	553
604	845	552
605	847	550
606	848	549
607	850	548
608	851	546
609	853	545
610	854	544
611	856	542
612	857	541
613	858	539
614	860	538
615	861	537
616	863	535
617	864	534
618	866	533
619	867	531
620	869	530
621	870	529
622	872	527
623	873	526
624	875	525
625	876	523
626	878	522
627	879	521
628	881	519
629	882	518
630	884	517
631	885	515
632	886	514
633	887	512
634	889	511
635	890	509
636	892	508
637	893	507
638	895	505
639	896	504
640	898	503
641	900	502
642	901	500
643	903	499
644	904	498
645	906	496
646	907	495
647	909	494
648	910	492
649	912	491
650	913	489
651	915	488
652	916	487
653	918	485
654	919	484
655	921	483
656	922	481
657	924	480
658	925	479
659	927	477
660	928	476
661	930	474
662	931	473
663	932	472
664	934	470
665	935	469
666	937	468
667	938	466
668	940	465
669	941	463
670	943	462
671	944	461
672	946	459
673	948	458
674	949	457
675	951	455
676	953	454
677	954	453
678	956	452
679	957	450
680	959	449
681	960	447
682	961	446
683	963	444
684	964	443
685	966	442
686	967	440
687	969	439
688	970	438
689	972	436
690	973	435
691	975	434
692	976	432
693	978	431
694	979	429
695	981	428
696	982	427
697	984	425
698	985	424
699	987	423
700	988	421
701	990	420
702	991	418
703	993	417
704	994	416
705	995	414
706	996	413
707	998	411
708	999	410
709	1000	408
710	1002	407
711	1003	405
712	1004	404
713	1006	403
714	1007	401
715	1009	400
716	1010	398
717	1012	397
718	1013	396
719	1015	394
720	1016	393
721	1018	392
722	1019	390
723	1021	389
724	1022	388
725	1024	386
726	1025	385
727	1027	383
728	1028	382
729	1030	381
730	1031	379
731	1032	378
732	1034	376
733	1035	375
734	1036	373
735	1038	372
736	1039	371
737	1041	369
738	1042	368
739	1044	366
740	1045	365
741	1047	364
742	1048	362
743	1050	361
744	1051	359
745	1053	358
746	1054	357
747	1056	355
748	1057	354
749	1059	353
750	1060	351
751	1062	350
752	1063	348
753	1065	347
754	1066	346
755	1067	344
756	1069	343
757	1070	341
758	1072	340
759	1073	339
760	1075	337
761	1076	336
762	1078	334
763	1079	333
764	1081	332
765	1082	330
766	1084	329
767	1085	328
768	1087	326
769	1088	325
770	1090	323
771	1091	322
772	1093	321
773	1094	319
774	1096	318
775	1097	316
776	1099	315
777	1100	314
778	1101	312
779	1103	311
780	1104	309
781	1106	308
782	1108	307
783	1109	305
784	1111	304
785	1113	303
786	1114	301
787	1115	300
788	1117	298
789	1118	297
790	1120	296
791	1122	294
792	1123	293
793	1125	292
794	1127	290
795	1128	289
796	1130	287
797	1132	286
798	1133	285
799	1134	283
800	1135	282
801	1137	280
802	1138	279
803	1140	277
804	1141	276
805	1143	275
806	1144	273
807	1146	272
808	1147	270
809	1149	269
810	1150	268
811	1152	266
812	1154	265
813	1155	264
814	1156	262
815	1158	261
816	1160	259
817	1161	258
818	1163	257
819	1164	255
820	1166	254
821	1167	252
822	1169	251
823	1171	250
824	1172	248
825	1174	247
826	1175	245
827	1177	244
828	1178	243
829	1179	241
830	1181	240
831	1182	238
832	1184	237
833	1185	236
834	1187	234
835	1188	233
836	1190	231
837	1191	230
838	1193	228
839	1194	227
840	1196	226
841	1197	224
842	1199	223
843	1200	221
844	1202	220
845	1203	219
846	1204	217
847	1206	216
848	1207	214
849	1208	213
850	1210	211
851	1212	210
852	1213	209
853	1214	207
854	1215	206
855	1217	204
856	1218	203
857	1219	201
858	1221	200
859	1222	199
860	1224	197
861	1225	196
862	1227	194
863	1228	193
864	1230	192
865	1231	190
866	1233	189
867	1234	187
868	1236	186
869	1237	184
870	1239	183
871	1240	182
872	1242	180
873	1244	179
874	1246	178
875	1247	176
876	1249	175
877	1250	173
878	1251	172
879	1253	170
880	1254	169
881	1256	168
882	1258	166
883	1259	165
884	1260	163
885	1262	162
886	1263	161
887	1265	159
888	1266	158
889	1268	156
890	1270	155
891	1271	153
892	1273	152
893	1274	151
894	1276	149
895	1277	148
896	1278	146
897	1280	145
898	1281	144
899	1283	142
900	1284	141
901	1286	139
902	1287	138
903	1289	136
904	1290	135
905	1292	134
906	1294	132
907	1295	131
908	1296	129
909	1297	128
910	1298	126
911	1300	125
912	1301	124
913	1303	122
914	1304	121
915	1306	119
916	1307	118
917	1309	116
918	1310	115
919	1312	114
920	1313	112
921	1315	111
922	1316	109
923	1318	108
924	1319	106
925	1321	105
926	1322	104
927	1324	102
928	1325	101
929	1326	99
930	1328	98
931	1329	97
932	1331	95
933	1333	94
934	1334	92
935	1336	91
936	1337	89
937	1339	88
938	1340	87
939	1342	85
940	1343	84
941	1344	82
942	1346	81
943	1347	79
944	1348	78
945	1349	77
946	1351	75
947	1352	74
948	1354	72
949	1355	71
950	1356	69
951	1358	68
952	1359	67
953	1360	65
954	1361	64
955	1363	62
956	1364	61
957	1365	59
958	1367	58
959	1368	57
960	1369	55
961	1371	54
962	1372	52
963	1374	51
964	1375	49
965	1377	48
966	1378	47
967	1380	45
968	1381	44
969	1382	42
970	1384	41
971	1385	39
972	1386	38
973	1388	37
974	1389	35
975	1390	34
976	1392	32
977	1393	31
978	1394	29
979	1396	28
980	1397	27
981	1398	25
982	1400	24
983	1401	22
984	1402	21
985	1404	19
986	1405	18
987	1406	17
988	1408	15
989	1409	14
990	1410	12
991	1412	11
992	1414	9
993	1415	8
994	1416	7
995	1418	5
996	1419	4
997	1420	2
998	1421	1
999	1423	0
