iter	Logloss
0	0.6875307901
1	0.682635252
2	0.6774882504
3	0.6719099913
4	0.667166317
5	0.6616504887
6	0.6567894665
7	0.6521345119
8	0.647715447
9	0.6428612616
10	0.6386718946
11	0.635970975
12	0.6317752489
13	0.6279392746
14	0.6237704976
15	0.6193085259
16	0.6150760892
17	0.6107589427
18	0.6066327425
19	0.602810048
20	0.5991036456
21	0.5958979344
22	0.5918872759
23	0.588588194
24	0.585034936
25	0.5830845263
26	0.5800508123
27	0.5772649962
28	0.575433586
29	0.5723438628
30	0.568978848
31	0.5657937323
32	0.562670499
33	0.560198045
34	0.5568104804
35	0.5538773694
36	0.55139783
37	0.5484491166
38	0.5457635958
39	0.543088711
40	0.5410269472
41	0.5381420628
42	0.5364513628
43	0.5340812056
44	0.5317620866
45	0.5298129455
46	0.5271510709
47	0.5247207462
48	0.5221782035
49	0.5205522239
50	0.5182476355
51	0.5160180134
52	0.5141647333
53	0.5117657025
54	0.5096541312
55	0.5076127228
56	0.5055553648
57	0.5039895227
58	0.502134752
59	0.5004292586
60	0.4987314597
61	0.497189958
62	0.4952236543
63	0.4936890476
64	0.4917239824
65	0.4902788746
66	0.4888560978
67	0.4872212712
68	0.4856176946
69	0.4840555331
70	0.4830061643
71	0.4813018288
72	0.4799508763
73	0.4785415699
74	0.4774376778
75	0.4761732303
76	0.4750061514
77	0.4737920994
78	0.4722373839
79	0.4711205446
80	0.4697524399
81	0.468892403
82	0.4680564065
83	0.4665641478
84	0.4651811347
85	0.4638017218
86	0.4628160321
87	0.4616796235
88	0.460501183
89	0.4594308614
90	0.4582609234
91	0.4573173476
92	0.4560135376
93	0.4555741977
94	0.4546315376
95	0.4538676727
96	0.4528022073
97	0.4517486427
98	0.4506883316
99	0.4499272934
100	0.4494725836
101	0.4487745033
102	0.4479921798
103	0.4474047976
104	0.4462439852
105	0.4455103423
106	0.4445476825
107	0.4436180742
108	0.4425522456
109	0.4422344559
110	0.4417581693
111	0.4412325792
112	0.4402865577
113	0.4401050671
114	0.4392296753
115	0.438510152
116	0.4379463563
117	0.4371408754
118	0.4364209597
119	0.4357016822
120	0.4350367724
121	0.4342091203
122	0.4334028815
123	0.4326486924
124	0.4319191031
125	0.431008148
126	0.4302708983
127	0.4295308852
128	0.4290477438
129	0.4286829759
130	0.4279812913
131	0.427324493
132	0.4268388488
133	0.4264206728
134	0.4257636221
135	0.4252915591
136	0.424610431
137	0.424232942
138	0.4235929743
139	0.4230872583
140	0.4224634407
141	0.4217873344
142	0.4212852484
143	0.420720636
144	0.4205351251
145	0.419970357
146	0.4192011409
147	0.418657278
148	0.4184414407
149	0.4177690491
150	0.4172936683
151	0.4168730978
152	0.4165346524
153	0.4161905715
154	0.4158525881
155	0.4155084177
156	0.4150357374
157	0.4148048386
158	0.4143581376
159	0.4141009836
160	0.4136635318
161	0.41304506
162	0.4126670695
163	0.4123943928
164	0.4121901776
165	0.4119906313
166	0.4113975791
167	0.4109962824
168	0.4107852645
169	0.4103402562
170	0.4101007519
171	0.4098199112
172	0.4093780554
173	0.4090410025
174	0.4085708037
175	0.4081106352
176	0.4076905394
177	0.4072746304
178	0.4068251249
179	0.4064958545
180	0.4060579005
181	0.4058463504
182	0.405483437
183	0.4052473704
184	0.4049481903
185	0.4044446099
186	0.4041131181
187	0.4038992733
188	0.4033841706
189	0.4032058669
190	0.4030942162
191	0.4026286154
192	0.4023750288
193	0.4021472578
194	0.4018329295
195	0.4014587769
196	0.400871424
197	0.4006161304
198	0.4002033361
199	0.3999440569
200	0.3996608714
201	0.3995828837
202	0.3992371491
203	0.3991239079
204	0.3986799816
205	0.3983413951
206	0.3981024365
207	0.3978786129
208	0.3977437852
209	0.3974021349
210	0.3971778986
211	0.3966521815
212	0.3964168439
213	0.3960983992
214	0.3958224147
215	0.3955678597
216	0.3953861123
217	0.395094461
218	0.3947955989
219	0.3945768333
220	0.3944700466
221	0.3941532191
222	0.3936618403
223	0.3934597049
224	0.3930346596
225	0.3928886875
226	0.3926679853
227	0.3924921452
228	0.3923444259
229	0.392217617
230	0.3919186993
231	0.3916247085
232	0.391326302
233	0.3908527036
234	0.3906308149
235	0.3904377048
236	0.3901440097
237	0.3899611694
238	0.3897527627
239	0.3896373302
240	0.3892950414
241	0.3890502551
242	0.3889287277
243	0.3888139206
244	0.3885865632
245	0.388368246
246	0.3882247793
247	0.3879902705
248	0.3877390554
249	0.3874670797
250	0.3873430599
251	0.3871886606
252	0.3868115062
253	0.3866441055
254	0.3863491464
255	0.3860576607
256	0.3858209441
257	0.3854216647
258	0.3852191571
259	0.3850672727
260	0.3849450969
261	0.3848436542
262	0.3845897832
263	0.3843885062
264	0.3842502919
265	0.3842174304
266	0.3840045226
267	0.3838245044
268	0.3835208697
269	0.3832273101
270	0.3830106044
271	0.3828194309
272	0.3826601625
273	0.3825363755
274	0.3822088467
275	0.3819948657
276	0.3819225564
277	0.3817520714
278	0.3815592922
279	0.3812904361
280	0.3811386094
281	0.3808737553
282	0.380536051
283	0.3803438561
284	0.3802472924
285	0.3799211762
286	0.3798334103
287	0.3796564421
288	0.3794489137
289	0.3793436447
290	0.3791903349
291	0.3789438305
292	0.3785864927
293	0.3782862732
294	0.3780702865
295	0.3777464771
296	0.3773925298
297	0.3771335285
298	0.3771035727
299	0.376793641
300	0.3767170726
301	0.3764601813
302	0.3763107183
303	0.3760207657
304	0.3759691314
305	0.3758977227
306	0.3757655616
307	0.37570399
308	0.3756256214
309	0.3752501103
310	0.3750607449
311	0.3748445174
312	0.3746813436
313	0.3745757281
314	0.3745007678
315	0.3743388894
316	0.3742290807
317	0.3740376435
318	0.3738084014
319	0.3737807555
320	0.3735957609
321	0.3735003022
322	0.3733749917
323	0.3731738697
324	0.373093364
325	0.3729154503
326	0.3727719587
327	0.3726339571
328	0.3724736245
329	0.3723804112
330	0.3721494279
331	0.3720081696
332	0.3718119574
333	0.3716053181
334	0.3714170883
335	0.3712082672
336	0.370947665
337	0.3708724284
338	0.3706910245
339	0.370495172
340	0.3704198023
341	0.3703684738
342	0.3700969325
343	0.3699064522
344	0.3697115883
345	0.3694874723
346	0.3693209929
347	0.3691681576
348	0.3689730052
349	0.3688343996
350	0.3688216694
351	0.3687764349
352	0.3686423174
353	0.3685636077
354	0.3683927131
355	0.3681861598
356	0.3680787753
357	0.3678776095
358	0.3677327586
359	0.3676400338
360	0.3675301016
361	0.3673371069
362	0.367216805
363	0.3671288238
364	0.3669837923
365	0.366909102
366	0.3667248565
367	0.366615451
368	0.3664624796
369	0.3661548823
370	0.3660222488
371	0.3659000447
372	0.3658146059
373	0.3654493101
374	0.3652994763
375	0.3652202706
376	0.3650476533
377	0.3649568095
378	0.364846104
379	0.3647059673
380	0.3645776712
381	0.3645173632
382	0.3643493045
